Timestamp,Which year of study are you currently in?,Have you used a digital study planner or learning app before?,1. I think that I would like to use this system frequently.,2. I found the system unnecessarily complex.,3.  I thought the system was easy to use.,4. I think that I would need the support of a technical person to be able to use this system.,5. I found the various functions in this system were well integrated.,6. I thought there was too much inconsistency in this system.,7. I would imagine that most people would learn to use this system very quickly.,8. I found the system very cumbersome to use.,9. I felt very confident using the system.,10. I needed to learn a lot of things before I could get going with this system.
02/06/2026 22:31:41,Year 3,Occasionally,3,3,4,2,4,2,3,2,4,2
03/06/2026 14:27:03,Year 4,Once or twice,3,4,4,2,5,2,3,3,3,3
03/06/2026 18:59:39,Year 1,Once or twice,5,2,4,1,5,1,5,1,4,2
05/06/2026 21:12:56,Year 2,Occasionally,3,2,4,3,4,3,4,3,4,4
05/06/2026 21:16:14,Postgraduate / other,Once or twice,3,1,5,2,3,3,3,3,4,4
05/06/2026 21:18:50,Year 4,Never,3,3,4,4,4,2,3,3,3,4
05/06/2026 21:23:01,Year 4,Regularly,3,2,5,2,3,2,4,1,4,5
05/06/2026 21:25:16,Year 1,Once or twice,2,3,2,4,3,2,4,3,3,4
05/06/2026 21:27:31,Year 4,Once or twice,3,2,4,3,4,2,5,3,3,4
05/06/2026 21:30:57,Postgraduate / other,Occasionally,5,1,4,3,3,1,4,2,3,5
05/06/2026 21:33:16,Year 3,Never,2,3,4,5,4,3,3,3,3,4
