respondent,item_1_raw,item_2_raw,item_3_raw,item_4_raw,item_5_raw,item_6_raw,item_7_raw,item_8_raw,item_9_raw,item_10_raw,item_1_conv,item_2_conv,item_3_conv,item_4_conv,item_5_conv,item_6_conv,item_7_conv,item_8_conv,item_9_conv,item_10_conv,raw_total,sus_score,grade
1,3,3,4,2,4,2,3,2,4,2,2,2,3,3,3,3,2,3,3,3,27,67.5,C (OK)
2,3,4,4,2,5,2,3,3,3,3,2,1,3,3,4,3,2,2,2,2,24,60.0,C (OK)
3,5,2,4,1,5,1,5,1,4,2,4,3,3,4,4,4,4,4,3,3,36,90.0,A+ (Best imaginable)
4,3,2,4,3,4,3,4,3,4,4,2,3,3,2,3,2,3,2,3,1,24,60.0,C (OK)
5,3,1,5,2,3,3,3,3,4,4,2,4,4,3,2,2,2,2,3,1,25,62.5,C (OK)
6,3,3,4,4,4,2,3,3,3,4,2,2,3,1,3,3,2,2,2,1,21,52.5,C (OK)
7,3,2,5,2,3,2,4,1,4,5,2,3,4,3,2,3,3,4,3,0,27,67.5,C (OK)
8,2,3,2,4,3,2,4,3,3,4,1,2,1,1,2,3,3,2,2,1,18,45.0,D (Poor)
9,3,2,4,3,4,2,5,3,3,4,2,3,3,2,3,3,4,2,2,1,25,62.5,C (OK)
10,5,1,4,3,3,1,4,2,3,5,4,4,3,2,2,4,3,3,2,0,27,67.5,C (OK)
11,2,3,4,5,4,3,3,3,3,4,1,2,3,0,3,2,2,2,2,1,18,45.0,D (Poor)
